Question,Correct,Wrong1,Wrong2,Wrong3
(基礎)(公式)Ⅰ運動学：等速直線運動の変位$x$（速度$v$，時間$t$）は？,$x=vt$,$x=v/t$,$x=v+t$,$x=vt^2$
(基礎)(公式)Ⅰ運動学：等加速直線運動の速度式（初速度$v_0$，加速度$a$）は？,$v=v_0+at$,$v=v_0+\frac12at^2$,$v^2=v_0^2+2at$,$v=v_0-at^2$
(基礎)(公式)Ⅰ運動学：等加速直線運動の変位式（初速度$v_0$）は？,$x=v_0t+\frac12at^2$,$x=v_0+at$,$x=\frac12v_0t^2+at$,$x=v_0t+at^2$
(基礎)(公式)Ⅰ運動学：等加速直線運動で時間$t$を含まない式は？,$v^2-v_0^2=2ax$,$v-v_0=2ax$,$v^2=v_0^2+2at$,$v^2-v_0^2=ax$
(基礎)(公式)Ⅰ運動学：自由落下（初速度0，下向き正）の速度$v(t)$は？,$v=gt$,$v=g/t$,$v=\frac12gt^2$,$v^2=2gt$
(標準)(公式)Ⅰ運動学：自由落下（初速度0，下向き正）の変位$y(t)$は？,$y=\frac12gt^2$,$y=gt$,$y=v_0t+\frac12gt^2$,$y=\frac12g^2t$
(基礎)(公式)Ⅰ運動学：自由落下（初速度0，下向き正）で時間$t$を含まない式は？,$v^2=2gy$,$v=2gy$,$v^2=gy$,$y=2gv$
(標準)(公式)Ⅰ運動学：自由落下（初速度0）で速さ$v$と距離$y$の関係は？,$v^2=2gy$,$v=2gy$,$v^2=gy$,$v=\sqrt{gy}$
(基礎)(公式)Ⅰ運動学：鉛直投げ下げ（下向き正，初速度$v_0$）の速度式は？,$v=v_0+gt$,$v=v_0-gt$,$v^2=v_0^2+2gt$,$v=v_0+\frac12gt^2$
(基礎)(公式)Ⅰ運動学：鉛直投げ下げ（下向き正，初速度$v_0$）の変位$y$は？,$y=v_0t+\frac12gt^2$,$y=v_0+gt$,$y=\frac12v_0t^2+gt$,$y=v_0t+gt^2$
(標準)(公式)Ⅰ運動学：鉛直投げ下げで時間$t$を消去した式として正しいのは？（下向き正）,$v^2-v_0^2=2gy$,$v^2-v_0^2=-2gy$,$v-v_0=2gy$,$v^2=v_0^2+2gt$
